Country,Crop_Group,Year,Production,Area,Yield,Yield_kg/ha,Avg_Temp,Total_Rain,Population,Population_Unit,Temp_norm,Rain_norm,Rain_risk,Risk_Score,Risk_Level,Production_kg,Production_per_capita
Afghanistan,Cereal,2010,5957000.0,2962000.0,2.011141120864281,2011.141120864281,16.596666666666668,10.856666666666667,28284089.0,people,0.6211574297293424,0.06732975441601072,0.9326702455839893,0.7769138376566658,High,5957000000.0,210.61311184532053
Afghanistan,Cereal,2011,4681020.0,2820000.0,1.659936170212766,1659.936170212766,15.893055555555556,13.823333333333334,29347708.0,people,0.5991521043189687,0.08687108212846777,0.9131289178715323,0.7561405110952505,High,4681020000.0,159.50206401126792
Afghanistan,Cereal,2012,6582000.0,3143000.0,2.0941775373846645,2094.1775373846644,14.629444444444445,12.803333333333333,30560034.0,people,0.5596328681200781,0.08015237844306118,0.9198476215569388,0.7397402448385084,High,6582000000.0,215.3793415282195
Afghanistan,Cereal,2013,6772235.0,3182922.0,2.127678592186676,2127.6785921866763,16.26361111111111,10.093333333333334,31622704.0,people,0.6107411702871639,0.062301704925951544,0.9376982950740484,0.7742197326806062,High,6772235000.0,214.15736617589693
Afghanistan,Cereal,2014,7012523.28,3344733.0,2.096586866575,2096.586866575,15.387222222222222,11.173333333333334,32792523.0,people,0.5833322474013648,0.06941562647520558,0.9305843735247944,0.7569583104630796,High,7012523280.0,213.84518903897697
Afghanistan,Cereal,2015,6010288.0,2724070.0,2.206363272603127,2206.363272603127,15.929166666666667,14.313333333333334,33831764.0,people,0.6002814735662441,0.09009869468322192,0.909901305316778,0.755091389441511,High,6010288000.0,177.6522205581713
Afghanistan,Cereal,2016,5708330.42,2793694.0,2.0432912194392086,2043.2912194392086,16.758333333333333,13.956666666666667,34700612.0,people,0.6262135289748368,0.08774934404812876,0.9122506559518713,0.769232092463354,High,5708330420.0,164.502298115088
Afghanistan,Cereal,2017,5059633.97,2419213.0,2.091437988304461,2091.4379883044608,16.45888888888889,6.573333333333333,35688935.0,people,0.6168484516781993,0.03911559024690139,0.9608844097530986,0.788866430715649,High,5059633970.0,141.77038261298634
Afghanistan,Cereal,2018,4304555.5,1910389.0,2.253235074113178,2253.2350741131777,16.866944444444446,4.17,36743039.0,people,0.6296103241724114,0.02328491914501202,0.9767150808549879,0.8031627025136996,High,4304555500.0,117.15295242726113
Afghanistan,Cereal,2019,5771861.0,2641911.0,2.1847295385802172,2184.729538580217,15.885,10.283333333333333,37856121.0,people,0.5989001681022688,0.06355322816146845,0.9364467718385315,0.7676734699704002,High,5771861000.0,152.4683683254288
Afghanistan,Cereal,2020,6241828.0,3043589.0,2.0508117226077505,2050.8117226077507,14.723888888888888,15.453333333333335,39068979.0,people,0.5625866030744906,0.09760783409632338,0.9023921659036767,0.7324893844890836,High,6241828000.0,159.76429791011432
Afghanistan,Cereal,2021,4970923.0,2368118.0,2.099102747413769,2099.102747413769,16.489166666666666,13.173333333333332,40000412.0,people,0.617795384354761,0.08258955527012042,0.9174104447298795,0.7676029145423202,High,4970923000.0,124.27179500051149
Afghanistan,Cereal,2022,4802495.0,2189504.0,2.1934168651895587,2193.416865189559,16.424444444444443,15.520000000000001,40578842.0,people,0.6157712071654136,0.09804696505615389,0.9019530349438462,0.7588621210546298,High,4802495000.0,118.34973013769097
Afghanistan,Cereal,2023,5402975.0,2346054.0,2.3030053869177776,2303.0053869177777,16.788611111111113,10.423333333333334,41454761.0,people,0.6271604616513986,0.0644754031771125,0.9355245968228875,0.781342529237143,High,5402975000.0,130.33424556470123
Afghanistan,Cereal,2024,6215646.07,2635327.0,2.3585862665240405,2358.5862665240406,16.504722222222224,11.163333333333332,42647492.0,people,0.6182818818766643,0.06934975683123099,0.930650243168769,0.7744660625227167,High,6215646070.0,145.74470334621319
Afghanistan,Fruit,2010,1031868.95,137060.0,7.528592951991828,7528.592951991828,16.596666666666668,10.856666666666667,28284089.0,people,0.6211574297293424,0.06732975441601072,0.9326702455839893,0.7769138376566658,High,1031868950.0,36.482311662928225
Afghanistan,Fruit,2011,1047351.37,136016.0,7.700207107987295,7700.207107987296,15.893055555555556,13.823333333333334,29347708.0,people,0.5991521043189687,0.08687108212846777,0.9131289178715323,0.7561405110952505,High,1047351370.0,35.68767175958
Afghanistan,Fruit,2012,1153845.3599999999,135768.0,8.498654764009192,8498.654764009192,14.629444444444445,12.803333333333333,30560034.0,people,0.5596328681200781,0.08015237844306118,0.9198476215569388,0.7397402448385084,High,1153845359.9999998,37.75667788851281
Afghanistan,Fruit,2013,1186662.51,134438.0,8.826838468290216,8826.838468290216,16.26361111111111,10.093333333333334,31622704.0,people,0.6107411702871639,0.062301704925951544,0.9376982950740484,0.7742197326806062,High,1186662510.0,37.52564960921748
